day.frac,min.flux,mean.flux,max.flux
0.65625,95.77389604,116.6247051,159.4715211
0.656944444,93.29011691,116.4716723,135.3899996
0.657638889,93.34777424,117.0747414,136.0910244
0.658333333,91.83671816,118.8413689,138.1446027
0.659027778,90.99366577,120.4824782,140.0522751
0.659722222,95.96991667,122.2524788,142.1097743
0.660416667,86.8727776,123.5196926,143.5828198
0.661111111,85.0907719,124.7133831,144.9703997
0.661805556,79.14823874,125.2983455,145.6503767
0.6625,79.05280647,126.1547322,146.6458651
0.663194444,82.57161344,127.0241453,147.6564957
0.663888889,82.52913872,127.8832625,148.6551582
0.664583333,82.86326479,128.8166287,149.7401297
0.665277778,82.64051407,129.5124595,150.5489833
0.665972222,82.75188943,130.0768993,151.2051042
0.666666667,97.73855732,130.6728071,205.9175045
0.667361111,97.82320259,131.2541257,192.4298519
0.668055556,97.96576305,131.8612808,193.6598854
0.66875,98.54936991,134.0007041,178.0171709
0.669444444,98.91913609,134.2141601,177.32648
0.670138889,99.36909253,134.4630777,179.1500232
0.670833333,99.85468908,135.4594237,165.2684462
0.671527778,100.3135555,135.7121349,166.4585705
0.672222222,100.9818077,136.1076042,166.1032013
0.672916667,101.2936587,135.6328748,166.4745889
0.673611111,101.5698696,134.6661738,174.6314338
0.674305556,95.11455393,133.6583598,155.3682963
0.675,96.11693214,133.029065,154.636786
0.675694444,94.33492644,131.2100565,152.5223185
0.676388889,94.55767715,129.6639872,150.7251234
0.677083333,98.31770917,128.0719935,200.3209503
0.677777778,96.11693214,126.9386235,147.5570828
0.678472222,96.26394761,125.7626442,146.1900908
0.679166667,95.67143071,126.937553,147.5558384
0.679861111,84.42292001,126.2252775,146.7278691
0.680555556,90.97533682,125.4622252,146.0679931
0.68125,85.70906898,124.7281724,144.9875913
0.681944444,83.13092089,123.8843532,144.0067117
0.682638889,82.86650295,123.0223246,143.004665
0.683333333,87.20690367,122.9238608,142.890208
0.684027778,94.11217573,122.8118049,153.0558164
0.684722222,84.31114441,122.9597809,147.4999744
0.685416667,84.19976906,123.0201297,147.3954112
0.686111111,82.86326479,121.6081021,145.0806285
0.686805556,81.19263445,121.9827276,143.1516813
0.6875,94.74033274,122.3546755,213.293714
0.688194444,94.52203704,122.7228802,144.5692116
0.688888889,94.33047143,123.8725488,144.2837245
